RTENAME,StateNm,RouteID,U_S_R_I,id,ppt00_mean,ppt01_mean,ppt15_mean,ppt16_mean,tmean00_me,tmean01_me,tmean15_me,tmean16_me
NEW LENOX,34,018,34_018,1152,960.473999999999000,909.566000000000000,1087.753999999990000,1011.000000000000000,11.350000000000000,10.151999999999900,10.898000000000000,10.202000000000000
NEW LENOX,34,018,34_018,1153,955.035714285714000,872.931428571428000,1100.769999999990000,978.048571428571000,11.361428571428500,10.157142857142800,10.961428571428500,10.274285714285700
NEW LENOX,34,018,34_018,1154,951.625000000000000,867.667500000000000,1105.303750000000000,979.153749999999000,11.383749999999900,10.180000000000000,10.998750000000000,10.312500000000000
NEW LENOX,34,018,34_018,1155,949.307999999999000,860.207999999999000,1112.114000000000000,1004.870000000000000,11.402000000000000,10.199999999999900,10.998000000000000,10.292000000000000
TROY GROVE,34,068,34_068,1156,888.689999999999000,957.478749999999000,1107.734999999990000,1023.928749999990000,11.003750000000000,9.781250000000000,10.391249999999900,9.798750000000000
TROY GROVE,34,068,34_068,1157,904.917500000000000,963.307500000000000,1099.632499999990000,1038.196249999990000,11.011250000000000,9.805000000000000,10.441250000000000,9.836250000000000
TROY GROVE,34,068,34_068,1158,907.755714285714000,953.982857142857000,1097.632857142850000,1058.655714285710000,10.965714285714200,9.772857142857140,10.317142857142800,9.672857142857140
TROY GROVE,34,068,34_068,1159,919.228571428571000,938.228571428571000,1139.222857142850000,1104.087142857140000,11.020000000000000,9.844285714285710,10.312857142857100,9.634285714285710
TROY GROVE,34,068,34_068,1160,924.815555555555000,924.650000000000000,1174.664444444440000,1135.564444444440000,11.103333333333300,9.944444444444440,10.407777777777700,9.706666666666660
SENECA,34,069,34_069,1161,944.919999999999000,910.307142857142000,1255.580000000000000,1010.687142857140000,11.414285714285700,10.239999999999900,10.658571428571400,9.942857142857140
SENECA,34,069,34_069,1162,944.571666666666000,885.489999999999000,1270.569999999990000,1063.273333333330000,11.321666666666600,10.088333333333300,10.523333333333300,9.808333333333330
SENECA,34,069,34_069,1163,993.618333333333000,885.454999999999000,1262.896666666660000,1066.048333333330000,11.008333333333300,9.750000000000000,10.223333333333300,9.433333333333330
SENECA,34,069,34_069,1164,1008.054285714280000,884.004285714285000,1207.211428571420000,1050.949999999990000,10.932857142857100,9.659999999999990,10.134285714285700,9.308571428571430
