Latitude,Longitude,U_S_R_I,j_id
37.984966800000000,-84.813705400000000,39_023,1685
37.412645699999900,-85.128409899999900,39_025,1700
37.819985500000000,-86.896159299999900,39_029,1695
37.716359699999900,-87.694748899999900,39_035,1686
37.329942699999900,-88.326157899999900,39_036,1705
38.434495699999900,-84.163363700000000,39_040,1666
38.205149300000000,-83.929576299999900,39_044,1676
38.269811699999900,-85.204261900000000,39_137,1671
30.880125100000000,-90.249154099999900,42_010,1776
30.831572699999900,-93.318428900000000,42_016,1785
31.188727499999900,-91.671576500000000,42_017,1766
31.979295799999900,-91.444043500000000,42_018,1765
32.460268700000000,-92.621588900000000,42_026,1760
30.398603699999900,-91.510116900000000,42_033,1795
32.485677600000000,-91.426971899999900,42_038,1751
29.692489800000000,-89.966946100000000,42_101,1801
29.755959699999900,-90.558830900000000,42_104,1796
31.066092800000000,-93.495841900000000,42_122,1771
30.412879600000000,-91.195709500000000,42_903,1790
43.499424699999900,-70.515009899999900,44_003,1841
44.925816699999900,-70.957991899999900,44_006,1830
44.626172699999900,-70.961407899999900,44_007,1835
44.334029700000000,-70.290825900000000,44_013,1836
44.987619899999900,-69.436020799999900,44_019,1821
45.077683399999900,-70.212882300000000,44_032,1816
45.613321700000000,-68.533044899999900,44_041,1815
46.551402500000000,-68.780581100000000,44_056,1806
39.504146800000000,-79.155778499999900,46_001,1846
39.438784300000000,-79.169865900000000,46_003,1855
39.542931199999900,-78.601479100000000,46_004,1926
39.612971700000000,-77.865501899999900,46_006,1931
39.578000899999900,-77.548997099999900,46_008,1856
39.714835899999900,-77.330434699999900,46_009,1936
39.151445699999900,-77.093026899999900,46_011,1861
39.516536000000000,-77.038430399999900,46_013,1866
39.642312099999900,-77.023622799999900,46_014,1871
39.635962399999900,-76.969279200000000,46_015,1876
39.551570499999900,-76.813789600000000,46_016,1941
38.602138699999900,-77.078034900000000,46_030,1885
38.596074199999900,-77.055873199999900,46_031,1946
39.628082999999900,-76.006850000000000,46_032,1890
39.520829999999900,-75.942279999999900,46_033,1891
39.276508999999900,-75.764008200000000,46_035,1900
39.264094700000000,-76.148126899999900,46_036,1905
39.103119999999900,-76.192383000000000,46_037,1951
38.783977000000000,-75.884505599999900,46_038,1956
38.821111700000000,-75.933113899999900,46_039,1910
38.786319300000000,-76.075194999999900,46_040,1915
38.460749399999900,-76.199799700000000,46_041,1920
38.367690799999900,-76.243265600000000,46_042,1961
38.525863700000000,-76.210102300000000,46_043,1966
38.520329699999900,-75.796425600000000,46_044,1971
38.165192400000000,-75.579702699999900,46_047,1976
38.225673600000000,-75.266337199999900,46_048,1981
39.673381900000000,-79.163222899999900,46_051,1986
39.337773700000000,-79.310188900000000,46_052,1991
