"Latitude","Longitude","U_S_R_I"
41.3440727,-70.7828989,"47_102"
42.4447746,-71.8486346,"47_112"
47.1191407,-88.3459559,"49_004"
46.3459485,-86.2594019,"49_015"
44.4308,-86.1283614,"49_017"
43.9040607,-86.2186454,"49_018"
43.4369027,-86.2366709,"49_019"
41.8738037,-86.5500939,"49_022"
46.1439425,-85.3837115,"49_025"
42.5960376,-85.134166,"49_032"
43.0602167,-85.8872149,"49_033"
42.2526585,-85.4136135,"49_035"
42.0493317,-85.7234329,"49_036"
43.5961937,-85.1256579,"49_038"
41.7653686,-85.7505398,"49_039"
46.3398246,-84.7918605,"49_040"
46.2155937,-84.3634339,"49_041"
43.0899857,-84.6600329,"49_052"
42.1013065,-84.8081892,"49_055"
42.5834987,-84.1687459,"49_056"
44.3339914,-83.6808466,"49_061"
43.5141478,-82.674596,"49_070"
42.6584657,-82.8972629,"49_073"
43.7069417,-85.4353239,"49_131"
43.7144577,-85.4057859,"49_900"
46.1975227,-89.0722649,"49_901"
42.6234117,-86.0738369,"49_907"
46.5066027,-88.7300039,"49_908"
43.8139858,-91.6904455,"50_001"
43.8179682,-93.4993444,"50_003"
44.6596006,-93.3337301,"50_008"
44.974215,-93.471591,"50_009"
44.6299537,-94.0314709,"50_010"
44.3009187,-94.3011859,"50_011"
44.5288767,-95.1992649,"50_012"
45.6049323,-93.8828669,"50_015"
45.1025755,-93.4714512,"50_016"
46.704186,-92.6394206,"50_022"
46.8020456,-94.5135819,"50_025"
46.754647,-94.365017,"50_026"
46.4410069,-95.9888795,"50_027"
46.7456606,-95.4769368,"50_028"
46.9200866,-96.6109471,"50_029"
47.7313654,-90.703063,"50_032"
47.7051868,-91.5398453,"50_033"
47.0684835,-92.9862729,"50_035"
47.34027,-93.63994,"50_037"
47.781931,-95.132293,"50_042"
47.5136293,-96.6336288,"50_043"
48.9594807,-94.9927589,"50_047"
48.2658023,-94.5534156,"50_048"
48.7823598,-96.0733136,"50_051"
43.6016207,-92.5292739,"50_054"
43.6884582,-93.0194666,"50_055"
44.1388547,-96.1645301,"50_062"
47.5532344,-91.342574,"50_072"
47.7622203,-92.0002907,"50_073"
48.7854856,-95.3086167,"50_081"
45.5088447,-93.7211369,"50_900"
33.1507326,-88.6241136,"51_023"
30.8158367,-88.7684399,"51_030"
33.5589457,-89.3902589,"51_113"
30.6193407,-89.5109799,"51_119"
30.4987757,-88.7992689,"51_229"
36.5936897,-90.7479869,"52_002"
37.3066269,-89.526555,"52_007"
37.2598585,-90.3074923,"52_008"
37.3759607,-91.5529269,"52_010"
37.9039787,-91.4239279,"52_011"
38.9160367,-91.6100939,"52_019"
38.5860411,-92.434843,"52_021"
39.4571477,-92.1893609,"52_027"
39.4294496,-92.5567869,"52_028"
40.0903817,-93.5563439,"52_035"
36.9623781,-90.5490559,"52_052"
36.7289917,-90.9894119,"52_053"
36.6429207,-92.9744729,"52_054"
37.2408609,-89.8075467,"52_056"
37.6791707,-90.0763459,"52_057"
38.3512407,-91.8060379,"52_061"
39.7948327,-93.1267409,"52_066"
39.3970207,-94.5010299,"52_067"
40.1681387,-92.5154419,"52_068"
40.1002567,-94.1422189,"52_070"
37.6701567,-90.6467484,"52_109"
38.4464167,-93.2211229,"52_122"
39.7131417,-94.0662299,"52_131"
48.1080187,-114.4619289,"53_002"
48.9576837,-112.3253929,"53_004"
48.0610003,-110.3321782,"53_006"
48.2967897,-109.0648339,"53_007"
48.3824357,-108.7144099,"53_008"
48.2045751,-106.5334326,"53_010"
48.0596931,-105.9946591,"53_011"
48.8382207,-104.8419949,"53_012"
47.2997227,-115.1044549,"53_013"
47.1824757,-113.9489899,"53_015"
47.7874097,-109.4150839,"53_019"
47.548833,-105.812316,"53_023"
47.4695697,-104.1527019,"53_024"
46.9175377,-114.4626919,"53_025"
46.7236933,-113.6681583,"53_026"
46.6205137,-112.4949499,"53_027"
46.1235467,-111.9188609,"53_028"
46.3295907,-110.0515279,"53_029"
46.5835337,-107.0640799,"53_032"
46.2579454,-106.6939401,"53_033"
46.4973888,-105.0895338,"53_034"
45.5761407,-110.7878949,"53_039"
45.7251707,-109.5466543,"53_040"
45.9440787,-105.4130672,"53_044"
45.3107762,-104.4650383,"53_045"
47.6601727,-114.1345589,"53_074"
44.5611413,-112.710893,"53_097"
48.6986692,-114.1929772,"53_800"
46.1988347,-108.4511499,"53_908"
40.5520447,-95.7947529,"54_001"
40.4650912,-96.0668798,"54_002"
40.6406757,-98.8760679,"54_007"
40.9376453,-99.5023032,"54_008"
41.1764063,-96.1391528,"54_012"
41.34351,-96.08125,"54_013"
41.1630727,-97.3498079,"54_014"
41.8865107,-98.0363319,"54_017"
42.1915702,-96.7354923,"54_022"
42.7695353,-98.5988124,"54_025"
42.6534207,-98.6769859,"54_026"
42.021567,-99.4624293,"54_027"
42.2796649,-101.7208618,"54_029"
42.6521647,-100.5366606,"54_031"
40.0572037,-101.5499949,"54_036"
41.7218051,-100.7705095,"54_037"
41.6980247,-103.9868089,"54_040"
42.0059106,-101.0465689,"54_042"
42.1806217,-102.7815019,"54_043"
40.1686217,-117.1872779,"55_009"
39.0044442,-117.4662536,"55_015"
37.6959387,-114.7461089,"55_028"
35.7087118,-114.7110604,"55_033"
39.9432554,-119.3834746,"55_045"
41.833551,-119.6696108,"55_101"
41.5905187,-119.3053669,"55_903"
36.4907307,-116.3432079,"55_906"
41.7723066,-119.1199346,"55_907"
42.9015085,-71.8661202,"58_001"
42.8007764,-72.1685998,"58_003"
43.2321417,-70.9134599,"58_004"
43.1841551,-71.686612,"58_005"
43.2494327,-71.6191959,"58_007"
43.2499219,-71.1982777,"58_008"
43.3742607,-71.6070436,"58_009"
43.4146177,-71.204272,"58_010"
43.4568165,-71.8805982,"58_011"
43.0263963,-72.3814817,"58_013"
43.0768236,-72.2121162,"58_014"
43.5045711,-72.1318885,"58_015"
44.3571867,-71.3885019,"58_017"
44.1798777,-71.7063079,"58_018"
44.6075764,-71.3190129,"58_019"
44.6832807,-71.5868762,"58_020"
44.8672811,-71.3006396,"58_021"
44.9972951,-71.3746691,"58_022"
44.0969107,-71.3537309,"58_116"
39.8314157,-75.1462189,"59_001"
39.3852634,-75.3494715,"59_002"
39.5314149,-75.1074594,"59_003"
40.1672217,-74.0627799,"59_013"
40.6572687,-75.0997599,"59_020"
41.3073947,-74.6772749,"59_021"
40.9884812,-74.3851971,"59_022"
40.7140195,-74.7198716,"59_023"
40.6556297,-74.4044889,"59_024"
39.7511224,-74.585006,"59_028"
39.4859597,-74.5617049,"59_029"
39.2953945,-74.5547951,"59_030"
40.8833603,-75.0589721,"59_116"
36.1676097,-107.7013619,"60_002"
36.5200127,-106.3360529,"60_003"
36.0797837,-105.7975849,"60_004"
36.5885417,-104.1164099,"60_005"
36.7278337,-103.5750419,"60_006"
35.5233697,-106.0592719,"60_009"
35.5743487,-105.6755989,"60_010"
34.6383511,-108.4498979,"60_013"
34.1098564,-104.2297055,"60_017"
34.0200567,-103.7367849,"60_018"
33.9262784,-108.1876061,"60_019"
33.749487,-107.3217132,"60_020"
33.6891907,-105.8493706,"60_022"
33.0896297,-104.8270959,"60_023"
33.3149504,-103.6280881,"60_024"
32.3245289,-108.1067589,"60_025"
32.3802337,-106.7294539,"60_027"
32.9576087,-105.7457016,"60_028"
32.6557967,-104.3957139,"60_029"
31.9280116,-108.9941583,"60_031"
36.6069631,-108.9214683,"60_051"
35.9792717,-103.6855999,"60_056"
35.7466305,-106.779464,"60_059"
35.6605096,-105.3361242,"60_060"
34.5074572,-106.1909023,"60_065"
34.4636507,-103.4776839,"60_068"
33.644134,-108.7910908,"60_069"
33.7152917,-106.9502237,"60_071"
33.6810096,-105.0706138,"60_072"
33.7433287,-103.6484449,"60_074"
32.3972197,-108.7266319,"60_075"
32.9200137,-107.6265249,"60_076"
32.8420703,-103.1450556,"60_080"
31.8359947,-107.5695189,"60_082"
35.2666767,-108.1239789,"60_107"
35.6552916,-104.3751645,"60_111"
35.4023345,-103.5092263,"60_112"
34.1107524,-106.8715622,"60_115"
32.5335077,-107.4876559,"60_126"
32.4717827,-103.2960129,"60_130"
36.6066007,-104.7260509,"60_155"
33.9958055,-105.1106501,"60_166"
33.1786297,-107.0297999,"60_221"
42.4363317,-74.1520169,"61_022"
42.7318997,-74.1951349,"61_026"
42.569391,-75.156018,"61_029"
42.3472227,-75.9366669,"61_030"
42.3180237,-75.5570359,"61_031"
42.036872,-76.036148,"61_044"
42.282132,-77.939947,"61_045"
42.904651,-77.118887,"61_047"
42.7793497,-77.2581629,"61_048"
42.665781,-77.225107,"61_049"
42.6805707,-78.8216099,"61_053"
42.619592,-78.178397,"61_055"
42.2769437,-78.8989789,"61_056"
42.5957057,-78.3611669,"61_057"
42.624922,-78.103787,"61_058"
42.0548007,-78.9408579,"61_059"
43.0697617,-78.8506549,"61_064"
43.2572547,-79.0022969,"61_065"
43.261571,-76.684878,"61_069"
43.662991,-75.078218,"61_073"
43.4558097,-75.9023929,"61_075"
43.199431,-73.312309,"61_089"
43.217821,-73.409239,"61_090"
43.5327757,-73.7953919,"61_093"
44.4354227,-75.0557089,"61_097"
44.4319917,-74.1807169,"61_100"
42.6074657,-77.4085679,"61_110"
42.084342,-78.584377,"61_111"
42.0781957,-74.9852279,"61_121"
42.5913477,-74.9252479,"61_123"
34.95713,-76.65516,"63_002"
34.1327657,-77.8775469,"63_003"
34.5342189,-78.0716243,"63_004"
34.3209605,-78.5992368,"63_005"
35.9691437,-77.4434709,"63_010"
35.2819414,-77.7112775,"63_011"
35.6755372,-78.3220803,"63_012"
35.4161407,-78.0698959,"63_013"
35.9898149,-79.4688523,"63_014"
35.917637,-79.7044966,"63_015"
35.4291357,-83.8316649,"63_022"
36.2540309,-77.9795614,"63_024"
36.0593305,-78.4863356,"63_025"
36.2898447,-80.6415019,"63_027"
35.316016,-83.2186082,"63_030"
36.0168463,-81.8815194,"63_031"
33.9225168,-78.2125169,"63_101"
35.8639187,-75.8611599,"63_107"
35.6919219,-76.9896438,"63_109"
35.3743051,-81.6361686,"63_118"
35.8278747,-81.6405339,"63_119"
35.5865273,-82.4803436,"63_121"
36.3766523,-79.8498737,"63_126"
34.9312881,-76.8406017,"63_202"
34.5909333,-77.7928721,"63_204"
34.4014777,-78.0548779,"63_205"
35.5245603,-78.9085878,"63_212"
35.3169181,-78.0169365,"63_213"
35.9287265,-80.7208082,"63_217"
35.5089219,-81.4564775,"63_218"
35.9105725,-82.6486108,"63_220"
35.9991587,-77.8356539,"63_224"
36.0899346,-78.9520912,"63_225"
35.1020747,-77.1960089,"63_311"
35.0090297,-79.3092799,"63_900"
35.0399431,-83.2023406,"63_910"
46.1531849,-97.6746757,"64_001"
46.4854717,-97.0100549,"64_002"
46.3406907,-98.6828159,"64_004"
46.8060287,-99.4688039,"64_005"
47.845638,-97.6029243,"64_007"
47.9619307,-97.4077439,"64_008"
47.0807973,-99.0545676,"64_012"
48.4560524,-97.5356201,"64_014"
48.2818817,-98.7246389,"64_016"
48.7474635,-99.6133701,"64_017"
48.2672307,-99.3513109,"64_018"
47.2727187,-100.5587399,"64_019"
48.4447167,-101.6472319,"64_023"
48.8647667,-101.5405509,"64_024"
48.2692787,-102.4614329,"64_026"
48.4004127,-100.6573939,"64_028"
46.198459,-103.431806,"64_030"
47.2340597,-103.3213579,"64_032"
47.6171277,-103.5450979,"64_033"
45.9442265,-101.6387111,"64_034"
46.1041487,-102.0608219,"64_036"
46.7758047,-101.9283519,"64_037"
48.5899857,-103.0592269,"64_038"
48.6621167,-102.6906819,"64_039"
47.7465897,-101.5077209,"64_041"
47.6462687,-100.0542839,"64_042"
46.6039277,-100.1056369,"64_043"
48.8496871,-100.2489187,"64_044"
46.7251818,-98.797372,"64_103"
46.4874487,-101.4765709,"64_129"
41.3867557,-84.1216579,"66_002"
41.2506217,-82.2354939,"66_011"
41.6803821,-80.7420743,"66_021"
41.3710349,-80.9900079,"66_022"
40.9809757,-84.1972889,"66_025"
40.246894,-83.2978987,"66_035"
40.4606653,-82.6249903,"66_039"
40.8786396,-82.1083506,"66_040"
40.4600977,-82.7639629,"66_042"
39.9930387,-82.0294509,"66_043"
40.2788528,-80.7678799,"66_056"
39.3611652,-83.8637013,"66_064"
39.1527143,-82.9107789,"66_074"
39.9655986,-82.5305735,"66_075"
