RTENAME,StateNm,RouteID,U_S_R_I,id,t00m_mean,t00j_mean,t01m_mean,t01j_mean,t15m_mean,t15j_mean,t16m_mean,t16j_mean
BENNETT,52,053,52_053,2473,19.857499999999900,22.427500000000000,19.210000000000000,22.495000000000000,18.715000000000000,23.917500000000000,17.384999999999900,24.590000000000000
BENNETT,52,053,52_053,2474,19.873333333333300,22.316666666666600,19.120000000000000,22.386666666666600,18.626666666666600,23.753333333333300,17.256666666666600,24.473333333333300
BENNETT,52,053,52_053,2475,19.899999999999900,22.365000000000000,19.164999999999900,22.430000000000000,18.649999999999900,23.785000000000000,17.250000000000000,24.505000000000000
HILDA,52,054,52_054,2476,19.667500000000000,21.509999999999900,19.087500000000000,22.582499999999900,18.797499999999900,24.032499999999900,17.434999999999900,24.892499999999900
HILDA,52,054,52_054,2477,19.549999999999900,21.355000000000000,18.824999999999900,22.324999999999900,18.629999999999900,23.774999999999900,17.215000000000000,24.625000000000000
HILDA,52,054,52_054,2478,19.565000000000000,21.445000000000000,18.865000000000000,22.379999999999900,18.710000000000000,23.835000000000000,17.254999999999900,24.615000000000000
HILDA,52,054,52_054,2479,19.475000000000000,21.365000000000000,18.789999999999900,22.310000000000000,18.550000000000000,23.680000000000000,17.100000000000000,24.449999999999900
HILDA,52,054,52_054,2480,19.332500000000000,21.185000000000000,18.687500000000000,22.204999999999900,18.410000000000000,23.489999999999900,16.972499999999900,24.239999999999900
PULASKI,52,002,52_002,2481,19.880000000000000,22.474999999999900,19.462499999999900,23.094999999999900,19.564999999999900,24.692499999999900,18.242500000000000,25.342500000000000
PULASKI,52,002,52_002,2482,19.940000000000000,22.560000000000000,19.456666666666600,23.113333333333300,19.620000000000000,24.733333333333300,18.283333333333300,25.373333333333300
PULASKI,52,002,52_002,2483,20.046666666666600,22.709999999999900,19.586666666666600,23.183333333333300,19.650000000000000,24.783333333333300,18.286666666666600,25.403333333333300
PULASKI,52,002,52_002,2484,20.202500000000000,22.920000000000000,19.802499999999900,23.274999999999900,19.675000000000000,24.807500000000000,18.317500000000000,25.452500000000000
PULASKI,52,002,52_002,2485,20.180000000000000,22.895000000000000,19.750000000000000,23.230000000000000,19.609999999999900,24.759999999999900,18.295000000000000,25.414999999999900
HAY LAKE,53,004,53_004,2486,10.395000000000000,13.132500000000000,11.754999999999900,13.995000000000000,8.722500000000000,16.640000000000000,9.340000000000000,15.135000000000000
